#특별시/광역시/도	시군구	읍면동	선거구	후보정당	후보	득표수
세종특별자치시	세종특별자치시	금남면	금남면제3투	새누리당	신진	101
세종특별자치시	세종특별자치시	금남면	금남면제3투	민주통합당	이해찬	397
세종특별자치시	세종특별자치시	금남면	금남면제3투	자유선진당	심대평	358
세종특별자치시	세종특별자치시	금남면	금남면제3투	무소속	박희부	9
세종특별자치시	세종특별자치시	금남면	금남면제3투	무소속	박재성	9
세종특별자치시	세종특별자치시	금남면	금남면제3투	무소속	고진천	7
세종특별자치시	세종특별자치시	금남면	금남면제1투	새누리당	신진	262
세종특별자치시	세종특별자치시	금남면	금남면제1투	민주통합당	이해찬	1210
세종특별자치시	세종특별자치시	금남면	금남면제1투	자유선진당	심대평	980
세종특별자치시	세종특별자치시	금남면	금남면제1투	무소속	박희부	24
세종특별자치시	세종특별자치시	금남면	금남면제1투	무소속	박재성	74
세종특별자치시	세종특별자치시	금남면	금남면제1투	무소속	고진천	33
세종특별자치시	세종특별자치시	조치원읍	조치원읍제10투	새누리당	신진	96
세종특별자치시	세종특별자치시	조치원읍	조치원읍제10투	민주통합당	이해찬	359
세종특별자치시	세종특별자치시	조치원읍	조치원읍제10투	자유선진당	심대평	214
세종특별자치시	세종특별자치시	조치원읍	조치원읍제10투	무소속	박희부	32
세종특별자치시	세종특별자치시	조치원읍	조치원읍제10투	무소속	박재성	4
세종특별자치시	세종특별자치시	조치원읍	조치원읍제10투	무소속	고진천	10
세종특별자치시	세종특별자치시	전의면	전의면제2투	새누리당	신진	188
세종특별자치시	세종특별자치시	전의면	전의면제2투	민주통합당	이해찬	407
세종특별자치시	세종특별자치시	전의면	전의면제2투	자유선진당	심대평	565
세종특별자치시	세종특별자치시	전의면	전의면제2투	무소속	박희부	61
세종특별자치시	세종특별자치시	전의면	전의면제2투	무소속	박재성	5
세종특별자치시	세종특별자치시	전의면	전의면제2투	무소속	고진천	28
세종특별자치시	세종특별자치시	연기군 의당면	연기군 의당면투표소	새누리당	신진	66
세종특별자치시	세종특별자치시	연기군 의당면	연기군 의당면투표소	민주통합당	이해찬	176
세종특별자치시	세종특별자치시	연기군 의당면	연기군 의당면투표소	자유선진당	심대평	153
세종특별자치시	세종특별자치시	연기군 의당면	연기군 의당면투표소	무소속	박희부	0
세종특별자치시	세종특별자치시	연기군 의당면	연기군 의당면투표소	무소속	박재성	1
세종특별자치시	세종특별자치시	연기군 의당면	연기군 의당면투표소	무소속	고진천	8
세종특별자치시	세종특별자치시	연기군 반포면	연기군 반포면투표소	새누리당	신진	94
세종특별자치시	세종특별자치시	연기군 반포면	연기군 반포면투표소	민주통합당	이해찬	177
세종특별자치시	세종특별자치시	연기군 반포면	연기군 반포면투표소	자유선진당	심대평	189
세종특별자치시	세종특별자치시	연기군 반포면	연기군 반포면투표소	무소속	박희부	2
세종특별자치시	세종특별자치시	연기군 반포면	연기군 반포면투표소	무소속	박재성	7
세종특별자치시	세종특별자치시	연기군 반포면	연기군 반포면투표소	무소속	고진천	8
세종특별자치시	세종특별자치시	조치원읍	조치원읍제8투	새누리당	신진	270
세종특별자치시	세종특별자치시	조치원읍	조치원읍제8투	민주통합당	이해찬	963
세종특별자치시	세종특별자치시	조치원읍	조치원읍제8투	자유선진당	심대평	599
세종특별자치시	세종특별자치시	조치원읍	조치원읍제8투	무소속	박희부	60
세종특별자치시	세종특별자치시	조치원읍	조치원읍제8투	무소속	박재성	5
세종특별자치시	세종특별자치시	조치원읍	조치원읍제8투	무소속	고진천	27
세종특별자치시	세종특별자치시	동면	동면제2투	새누리당	신진	116
세종특별자치시	세종특별자치시	동면	동면제2투	민주통합당	이해찬	398
세종특별자치시	세종특별자치시	동면	동면제2투	자유선진당	심대평	316
세종특별자치시	세종특별자치시	동면	동면제2투	무소속	박희부	11
세종특별자치시	세종특별자치시	동면	동면제2투	무소속	박재성	7
세종특별자치시	세종특별자치시	동면	동면제2투	무소속	고진천	8
세종특별자치시	세종특별자치시	남면	남면제1투	새누리당	신진	157
세종특별자치시	세종특별자치시	남면	남면제1투	민주통합당	이해찬	621
세종특별자치시	세종특별자치시	남면	남면제1투	자유선진당	심대평	420
세종특별자치시	세종특별자치시	남면	남면제1투	무소속	박희부	23
세종특별자치시	세종특별자치시	남면	남면제1투	무소속	박재성	10
세종특별자치시	세종특별자치시	남면	남면제1투	무소속	고진천	60
세종특별자치시	세종특별자치시	조치원읍	조치원읍제1투	새누리당	신진	216
세종특별자치시	세종특별자치시	조치원읍	조치원읍제1투	민주통합당	이해찬	635
세종특별자치시	세종특별자치시	조치원읍	조치원읍제1투	자유선진당	심대평	476
세종특별자치시	세종특별자치시	조치원읍	조치원읍제1투	무소속	박희부	60
세종특별자치시	세종특별자치시	조치원읍	조치원읍제1투	무소속	박재성	5
세종특별자치시	세종특별자치시	조치원읍	조치원읍제1투	무소속	고진천	13
세종특별자치시	세종특별자치시	조치원읍	조치원읍제3투	새누리당	신진	316
세종특별자치시	세종특별자치시	조치원읍	조치원읍제3투	민주통합당	이해찬	1229
세종특별자치시	세종특별자치시	조치원읍	조치원읍제3투	자유선진당	심대평	815
세종특별자치시	세종특별자치시	조치원읍	조치원읍제3투	무소속	박희부	70
세종특별자치시	세종특별자치시	조치원읍	조치원읍제3투	무소속	박재성	4
세종특별자치시	세종특별자치시	조치원읍	조치원읍제3투	무소속	고진천	35
세종특별자치시	세종특별자치시	서면	서면제1투	새누리당	신진	110
세종특별자치시	세종특별자치시	서면	서면제1투	민주통합당	이해찬	415
세종특별자치시	세종특별자치시	서면	서면제1투	자유선진당	심대평	328
세종특별자치시	세종특별자치시	서면	서면제1투	무소속	박희부	22
세종특별자치시	세종특별자치시	서면	서면제1투	무소속	박재성	3
세종특별자치시	세종특별자치시	서면	서면제1투	무소속	고진천	8
