#특별시/광역시/도	시군구	읍면동	선거구	후보정당	후보	득표수
충청북도	보은군옥천군영동군	마로면	마로면제2투	새누리당	박덕흠	180
충청북도	보은군옥천군영동군	마로면	마로면제2투	민주통합당	이재한	141
충청북도	보은군옥천군영동군	마로면	마로면제2투	무소속	조위필	35
충청북도	보은군옥천군영동군	마로면	마로면제2투	무소속	심규철	102
충청북도	보은군옥천군영동군	내북면	내북면제1투	새누리당	박덕흠	189
충청북도	보은군옥천군영동군	내북면	내북면제1투	민주통합당	이재한	289
충청북도	보은군옥천군영동군	내북면	내북면제1투	무소속	조위필	18
충청북도	보은군옥천군영동군	내북면	내북면제1투	무소속	심규철	82
충청북도	보은군옥천군영동군	회인면	회인면투표소	새누리당	박덕흠	525
충청북도	보은군옥천군영동군	회인면	회인면투표소	민주통합당	이재한	434
충청북도	보은군옥천군영동군	회인면	회인면투표소	무소속	조위필	38
충청북도	보은군옥천군영동군	회인면	회인면투표소	무소속	심규철	163
충청북도	보은군옥천군영동군	삼승면	삼승면투표소	새누리당	박덕흠	641
충청북도	보은군옥천군영동군	삼승면	삼승면투표소	민주통합당	이재한	548
충청북도	보은군옥천군영동군	삼승면	삼승면투표소	무소속	조위필	86
충청북도	보은군옥천군영동군	삼승면	삼승면투표소	무소속	심규철	165
충청북도	보은군옥천군영동군	산외면	산외면제2투	새누리당	박덕흠	155
충청북도	보은군옥천군영동군	산외면	산외면제2투	민주통합당	이재한	87
충청북도	보은군옥천군영동군	산외면	산외면제2투	무소속	조위필	126
충청북도	보은군옥천군영동군	산외면	산외면제2투	무소속	심규철	45
충청북도	보은군옥천군영동군	내북면	내북면제2투	새누리당	박덕흠	197
충청북도	보은군옥천군영동군	내북면	내북면제2투	민주통합당	이재한	161
충청북도	보은군옥천군영동군	내북면	내북면제2투	무소속	조위필	26
충청북도	보은군옥천군영동군	내북면	내북면제2투	무소속	심규철	53
충청북도	보은군옥천군영동군	보은읍	보은읍제3투	새누리당	박덕흠	800
충청북도	보은군옥천군영동군	보은읍	보은읍제3투	민주통합당	이재한	660
충청북도	보은군옥천군영동군	보은읍	보은읍제3투	무소속	조위필	178
충청북도	보은군옥천군영동군	보은읍	보은읍제3투	무소속	심규철	255
충청북도	보은군옥천군영동군	수한면	수한면투표소	새누리당	박덕흠	623
충청북도	보은군옥천군영동군	수한면	수한면투표소	민주통합당	이재한	275
충청북도	보은군옥천군영동군	수한면	수한면투표소	무소속	조위필	69
충청북도	보은군옥천군영동군	수한면	수한면투표소	무소속	심규철	121
충청북도	보은군옥천군영동군	회남면	회남면투표소	새누리당	박덕흠	258
충청북도	보은군옥천군영동군	회남면	회남면투표소	민주통합당	이재한	198
충청북도	보은군옥천군영동군	회남면	회남면투표소	무소속	조위필	7
충청북도	보은군옥천군영동군	회남면	회남면투표소	무소속	심규철	29
충청북도	보은군옥천군영동군	마로면	마로면제1투	새누리당	박덕흠	411
충청북도	보은군옥천군영동군	마로면	마로면제1투	민주통합당	이재한	337
충청북도	보은군옥천군영동군	마로면	마로면제1투	무소속	조위필	38
충청북도	보은군옥천군영동군	마로면	마로면제1투	무소속	심규철	277
충청북도	보은군옥천군영동군	보은읍	보은읍제2투	새누리당	박덕흠	394
충청북도	보은군옥천군영동군	보은읍	보은읍제2투	민주통합당	이재한	283
충청북도	보은군옥천군영동군	보은읍	보은읍제2투	무소속	조위필	55
충청북도	보은군옥천군영동군	보은읍	보은읍제2투	무소속	심규철	94
충청북도	보은군옥천군영동군	속리산면	속리산면제2투	새누리당	박덕흠	89
충청북도	보은군옥천군영동군	속리산면	속리산면제2투	민주통합당	이재한	44
충청북도	보은군옥천군영동군	속리산면	속리산면제2투	무소속	조위필	7
충청북도	보은군옥천군영동군	속리산면	속리산면제2투	무소속	심규철	32
충청북도	보은군옥천군영동군	탄부면	탄부면투표소	새누리당	박덕흠	476
충청북도	보은군옥천군영동군	탄부면	탄부면투표소	민주통합당	이재한	368
충청북도	보은군옥천군영동군	탄부면	탄부면투표소	무소속	조위필	121
충청북도	보은군옥천군영동군	탄부면	탄부면투표소	무소속	심규철	186
충청북도	보은군옥천군영동군	속리산면	속리산면제1투	새누리당	박덕흠	368
충청북도	보은군옥천군영동군	속리산면	속리산면제1투	민주통합당	이재한	433
충청북도	보은군옥천군영동군	속리산면	속리산면제1투	무소속	조위필	52
충청북도	보은군옥천군영동군	속리산면	속리산면제1투	무소속	심규철	219
충청북도	보은군옥천군영동군	보은읍	보은읍제1투	새누리당	박덕흠	668
충청북도	보은군옥천군영동군	보은읍	보은읍제1투	민주통합당	이재한	515
충청북도	보은군옥천군영동군	보은읍	보은읍제1투	무소속	조위필	113
충청북도	보은군옥천군영동군	보은읍	보은읍제1투	무소속	심규철	236
충청북도	보은군옥천군영동군	장안면	장안면투표소	새누리당	박덕흠	287
충청북도	보은군옥천군영동군	장안면	장안면투표소	민주통합당	이재한	215
충청북도	보은군옥천군영동군	장안면	장안면투표소	무소속	조위필	46
충청북도	보은군옥천군영동군	장안면	장안면투표소	무소속	심규철	189
충청북도	보은군옥천군영동군	보은읍	보은읍제4투	새누리당	박덕흠	861
충청북도	보은군옥천군영동군	보은읍	보은읍제4투	민주통합당	이재한	716
충청북도	보은군옥천군영동군	보은읍	보은읍제4투	무소속	조위필	197
충청북도	보은군옥천군영동군	보은읍	보은읍제4투	무소속	심규철	336
충청북도	보은군옥천군영동군	보은읍	보은읍제5투	새누리당	박덕흠	482
충청북도	보은군옥천군영동군	보은읍	보은읍제5투	민주통합당	이재한	390
충청북도	보은군옥천군영동군	보은읍	보은읍제5투	무소속	조위필	95
충청북도	보은군옥천군영동군	보은읍	보은읍제5투	무소속	심규철	197
충청북도	보은군옥천군영동군	산외면	산외면제1투	새누리당	박덕흠	295
충청북도	보은군옥천군영동군	산외면	산외면제1투	민주통합당	이재한	191
충청북도	보은군옥천군영동군	산외면	산외면제1투	무소속	조위필	68
충청북도	보은군옥천군영동군	산외면	산외면제1투	무소속	심규철	108
충청북도	보은군옥천군영동군	NA	국외부재자	새누리당	박덕흠	7
충청북도	보은군옥천군영동군	NA	국내부재자	새누리당	박덕흠	259
충청북도	보은군옥천군영동군	NA	국외부재자	민주통합당	이재한	11
충청북도	보은군옥천군영동군	NA	국내부재자	민주통합당	이재한	260
충청북도	보은군옥천군영동군	NA	국외부재자	무소속	조위필	0
충청북도	보은군옥천군영동군	NA	국내부재자	무소속	조위필	63
충청북도	보은군옥천군영동군	NA	국외부재자	무소속	심규철	0
충청북도	보은군옥천군영동군	NA	국내부재자	무소속	심규철	107
충청북도	보은군옥천군영동군	영동읍	영동읍제1투	새누리당	박덕흠	451
충청북도	보은군옥천군영동군	영동읍	영동읍제1투	민주통합당	이재한	430
충청북도	보은군옥천군영동군	영동읍	영동읍제1투	무소속	조위필	8
충청북도	보은군옥천군영동군	영동읍	영동읍제1투	무소속	심규철	1045
충청북도	보은군옥천군영동군	매곡면	매곡면투표소	새누리당	박덕흠	490
충청북도	보은군옥천군영동군	매곡면	매곡면투표소	민주통합당	이재한	259
충청북도	보은군옥천군영동군	매곡면	매곡면투표소	무소속	조위필	9
충청북도	보은군옥천군영동군	매곡면	매곡면투표소	무소속	심규철	397
충청북도	보은군옥천군영동군	용산면	용산면투표소	새누리당	박덕흠	539
충청북도	보은군옥천군영동군	용산면	용산면투표소	민주통합당	이재한	440
충청북도	보은군옥천군영동군	용산면	용산면투표소	무소속	조위필	20
충청북도	보은군옥천군영동군	용산면	용산면투표소	무소속	심규철	921
충청북도	보은군옥천군영동군	황간면	황간면제1투	새누리당	박덕흠	395
충청북도	보은군옥천군영동군	황간면	황간면제1투	민주통합당	이재한	506
충청북도	보은군옥천군영동군	황간면	황간면제1투	무소속	조위필	18
충청북도	보은군옥천군영동군	황간면	황간면제1투	무소속	심규철	519
충청북도	보은군옥천군영동군	상촌면	상촌면투표소	새누리당	박덕흠	449
충청북도	보은군옥천군영동군	상촌면	상촌면투표소	민주통합당	이재한	433
충청북도	보은군옥천군영동군	상촌면	상촌면투표소	무소속	조위필	13
충청북도	보은군옥천군영동군	상촌면	상촌면투표소	무소속	심규철	551
충청북도	보은군옥천군영동군	학산면	학산면제2투	새누리당	박덕흠	57
충청북도	보은군옥천군영동군	학산면	학산면제2투	민주통합당	이재한	56
충청북도	보은군옥천군영동군	학산면	학산면제2투	무소속	조위필	7
충청북도	보은군옥천군영동군	학산면	학산면제2투	무소속	심규철	220
충청북도	보은군옥천군영동군	영동읍	영동읍제4투	새누리당	박덕흠	467
충청북도	보은군옥천군영동군	영동읍	영동읍제4투	민주통합당	이재한	450
충청북도	보은군옥천군영동군	영동읍	영동읍제4투	무소속	조위필	14
충청북도	보은군옥천군영동군	영동읍	영동읍제4투	무소속	심규철	1132
충청북도	보은군옥천군영동군	영동읍	영동읍제2투	새누리당	박덕흠	341
충청북도	보은군옥천군영동군	영동읍	영동읍제2투	민주통합당	이재한	343
충청북도	보은군옥천군영동군	영동읍	영동읍제2투	무소속	조위필	5
