#특별시/광역시/도	시군구	읍면동	선거구	후보정당	후보	득표수
경기도	고양시덕양구갑	화정2동	화정2동제7투	새누리당	손범규	837
경기도	고양시덕양구갑	화정2동	화정2동제7투	통합진보당	심상정	1356
경기도	고양시덕양구갑	화정2동	화정2동제7투	국민행복당	송재은	20
경기도	고양시덕양구갑	주교동	주교동제1투	새누리당	손범규	812
경기도	고양시덕양구갑	주교동	주교동제1투	통합진보당	심상정	714
경기도	고양시덕양구갑	주교동	주교동제1투	국민행복당	송재은	35
경기도	고양시덕양구갑	화정2동	화정2동제6투	새누리당	손범규	887
경기도	고양시덕양구갑	화정2동	화정2동제6투	통합진보당	심상정	966
경기도	고양시덕양구갑	화정2동	화정2동제6투	국민행복당	송재은	13
경기도	고양시덕양구갑	주교동	주교동제3투	새누리당	손범규	993
경기도	고양시덕양구갑	주교동	주교동제3투	통합진보당	심상정	1101
경기도	고양시덕양구갑	주교동	주교동제3투	국민행복당	송재은	30
경기도	고양시덕양구갑	화정2동	화정2동제4투	새누리당	손범규	1063
경기도	고양시덕양구갑	화정2동	화정2동제4투	통합진보당	심상정	1243
경기도	고양시덕양구갑	화정2동	화정2동제4투	국민행복당	송재은	21
경기도	고양시덕양구갑	관산동	관산동제1투	새누리당	손범규	629
경기도	고양시덕양구갑	관산동	관산동제1투	통합진보당	심상정	624
경기도	고양시덕양구갑	관산동	관산동제1투	국민행복당	송재은	19
경기도	고양시덕양구갑	흥도동	흥도동제3투	새누리당	손범규	285
경기도	고양시덕양구갑	흥도동	흥도동제3투	통합진보당	심상정	163
경기도	고양시덕양구갑	흥도동	흥도동제3투	국민행복당	송재은	8
경기도	고양시덕양구갑	관산동	관산동제5투	새누리당	손범규	965
경기도	고양시덕양구갑	관산동	관산동제5투	통합진보당	심상정	677
경기도	고양시덕양구갑	관산동	관산동제5투	국민행복당	송재은	33
경기도	고양시덕양구갑	관산동	관산동제7투	새누리당	손범규	1307
경기도	고양시덕양구갑	관산동	관산동제7투	통합진보당	심상정	939
경기도	고양시덕양구갑	관산동	관산동제7투	국민행복당	송재은	38
경기도	고양시덕양구갑	흥도동	흥도동제1투	새누리당	손범규	348
경기도	고양시덕양구갑	흥도동	흥도동제1투	통합진보당	심상정	168
경기도	고양시덕양구갑	흥도동	흥도동제1투	국민행복당	송재은	9
경기도	고양시덕양구갑	화정1동	화정1동제2투	새누리당	손범규	1031
경기도	고양시덕양구갑	화정1동	화정1동제2투	통합진보당	심상정	1163
경기도	고양시덕양구갑	화정1동	화정1동제2투	국민행복당	송재은	17
경기도	고양시덕양구갑	관산동	관산동제3투	새누리당	손범규	857
경기도	고양시덕양구갑	관산동	관산동제3투	통합진보당	심상정	845
경기도	고양시덕양구갑	관산동	관산동제3투	국민행복당	송재은	13
경기도	고양시덕양구갑	화정2동	화정2동제2투	새누리당	손범규	1002
경기도	고양시덕양구갑	화정2동	화정2동제2투	통합진보당	심상정	1749
경기도	고양시덕양구갑	화정2동	화정2동제2투	국민행복당	송재은	33
경기도	고양시덕양구갑	화정1동	화정1동제5투	새누리당	손범규	1612
경기도	고양시덕양구갑	화정1동	화정1동제5투	통합진보당	심상정	1122
경기도	고양시덕양구갑	화정1동	화정1동제5투	국민행복당	송재은	10
경기도	고양시덕양구갑	화정1동	화정1동제7투	새누리당	손범규	616
경기도	고양시덕양구갑	화정1동	화정1동제7투	통합진보당	심상정	728
경기도	고양시덕양구갑	화정1동	화정1동제7투	국민행복당	송재은	35
경기도	고양시덕양구갑	성사1동	성사1동제2투	새누리당	손범규	1018
경기도	고양시덕양구갑	성사1동	성사1동제2투	통합진보당	심상정	1017
경기도	고양시덕양구갑	성사1동	성사1동제2투	국민행복당	송재은	32
경기도	고양시덕양구갑	성사1동	성사1동제4투	새누리당	손범규	1054
경기도	고양시덕양구갑	성사1동	성사1동제4투	통합진보당	심상정	1247
경기도	고양시덕양구갑	성사1동	성사1동제4투	국민행복당	송재은	23
경기도	고양시덕양구갑	고양동	고양동제2투	새누리당	손범규	971
경기도	고양시덕양구갑	고양동	고양동제2투	통합진보당	심상정	873
경기도	고양시덕양구갑	고양동	고양동제2투	국민행복당	송재은	37
경기도	고양시덕양구갑	고양동	고양동제6투	새누리당	손범규	1104
경기도	고양시덕양구갑	고양동	고양동제6투	통합진보당	심상정	1020
경기도	고양시덕양구갑	고양동	고양동제6투	국민행복당	송재은	22
경기도	고양시덕양구갑	고양동	고양동제4투	새누리당	손범규	1051
경기도	고양시덕양구갑	고양동	고양동제4투	통합진보당	심상정	934
경기도	고양시덕양구갑	고양동	고양동제4투	국민행복당	송재은	23
경기도	고양시덕양구갑	성사2동	성사2동제2투	새누리당	손범규	1120
경기도	고양시덕양구갑	성사2동	성사2동제2투	통합진보당	심상정	998
경기도	고양시덕양구갑	성사2동	성사2동제2투	국민행복당	송재은	19
경기도	고양시덕양구갑	화정1동	화정1동제8투	새누리당	손범규	1508
경기도	고양시덕양구갑	화정1동	화정1동제8투	통합진보당	심상정	964
경기도	고양시덕양구갑	화정1동	화정1동제8투	국민행복당	송재은	23
경기도	고양시덕양구갑	원신동	원신동제2투	새누리당	손범규	385
경기도	고양시덕양구갑	원신동	원신동제2투	통합진보당	심상정	172
경기도	고양시덕양구갑	원신동	원신동제2투	국민행복당	송재은	12
경기도	고양시덕양구갑	흥도동	흥도동제2투	새누리당	손범규	270
경기도	고양시덕양구갑	흥도동	흥도동제2투	통합진보당	심상정	129
경기도	고양시덕양구갑	흥도동	흥도동제2투	국민행복당	송재은	3
경기도	고양시덕양구갑	관산동	관산동제6투	새누리당	손범규	953
경기도	고양시덕양구갑	관산동	관산동제6투	통합진보당	심상정	556
경기도	고양시덕양구갑	관산동	관산동제6투	국민행복당	송재은	15
경기도	고양시덕양구갑	관산동	관산동제4투	새누리당	손범규	472
경기도	고양시덕양구갑	관산동	관산동제4투	통합진보당	심상정	367
경기도	고양시덕양구갑	관산동	관산동제4투	국민행복당	송재은	18
경기도	고양시덕양구갑	화정1동	화정1동제9투	새누리당	손범규	841
경기도	고양시덕양구갑	화정1동	화정1동제9투	통합진보당	심상정	1197
경기도	고양시덕양구갑	화정1동	화정1동제9투	국민행복당	송재은	27
경기도	고양시덕양구갑	고양동	고양동제1투	새누리당	손범규	664
경기도	고양시덕양구갑	고양동	고양동제1투	통합진보당	심상정	436
경기도	고양시덕양구갑	고양동	고양동제1투	국민행복당	송재은	24
경기도	고양시덕양구갑	화정1동	화정1동제3투	새누리당	손범규	868
경기도	고양시덕양구갑	화정1동	화정1동제3투	통합진보당	심상정	1372
경기도	고양시덕양구갑	화정1동	화정1동제3투	국민행복당	송재은	30
경기도	고양시덕양구갑	화정1동	화정1동제1투	새누리당	손범규	1006
경기도	고양시덕양구갑	화정1동	화정1동제1투	통합진보당	심상정	1120
경기도	고양시덕양구갑	화정1동	화정1동제1투	국민행복당	송재은	16
경기도	고양시덕양구갑	화정2동	화정2동제1투	새누리당	손범규	862
경기도	고양시덕양구갑	화정2동	화정2동제1투	통합진보당	심상정	1387
경기도	고양시덕양구갑	화정2동	화정2동제1투	국민행복당	송재은	17
경기도	고양시덕양구갑	화정2동	화정2동제5투	새누리당	손범규	1040
경기도	고양시덕양구갑	화정2동	화정2동제5투	통합진보당	심상정	1303
경기도	고양시덕양구갑	화정2동	화정2동제5투	국민행복당	송재은	21
경기도	고양시덕양구갑	주교동	주교동제2투	새누리당	손범규	909
경기도	고양시덕양구갑	주교동	주교동제2투	통합진보당	심상정	908
경기도	고양시덕양구갑	주교동	주교동제2투	국민행복당	송재은	29
경기도	고양시덕양구갑	화정2동	화정2동제3투	새누리당	손범규	1080
경기도	고양시덕양구갑	화정2동	화정2동제3투	통합진보당	심상정	1428
경기도	고양시덕양구갑	화정2동	화정2동제3투	국민행복당	송재은	22
경기도	고양시덕양구갑	주교동	주교동제4투	새누리당	손범규	941
경기도	고양시덕양구갑	주교동	주교동제4투	통합진보당	심상정	878
경기도	고양시덕양구갑	주교동	주교동제4투	국민행복당	송재은	43
경기도	고양시덕양구갑	관산동	관산동제2투	새누리당	손범규	1026
경기도	고양시덕양구갑	관산동	관산동제2투	통합진보당	심상정	783
경기도	고양시덕양구갑	관산동	관산동제2투	국민행복당	송재은	29
경기도	고양시덕양구갑	화정1동	화정1동제4투	새누리당	손범규	988
경기도	고양시덕양구갑	화정1동	화정1동제4투	통합진보당	심상정	989
경기도	고양시덕양구갑	화정1동	화정1동제4투	국민행복당	송재은	22
경기도	고양시덕양구갑	원신동	원신동제1투	새누리당	손범규	158
경기도	고양시덕양구갑	원신동	원신동제1투	통합진보당	심상정	83
경기도	고양시덕양구갑	원신동	원신동제1투	국민행복당	송재은	3
경기도	고양시덕양구갑	화정1동	화정1동제6투	새누리당	손범규	784
경기도	고양시덕양구갑	화정1동	화정1동제6투	통합진보당	심상정	912
경기도	고양시덕양구갑	화정1동	화정1동제6투	국민행복당	송재은	33
경기도	고양시덕양구갑	성사2동	성사2동제3투	새누리당	손범규	896
