#특별시/광역시/도	시군구	읍면동	선거구	항목	항목값
경상남도	거제시	NA	NA	국외부재자_선거권자	260
경상남도	거제시	NA	NA	국외부재자_투표수	88
경상남도	거제시	NA	NA	국외부재자_무효	0
경상남도	거제시	NA	NA	국외부재자_기권	172
경상남도	거제시	NA	NA	국내부재자_선거권자	3145
경상남도	거제시	NA	NA	국내부재자_투표수	2820
경상남도	거제시	NA	NA	국내부재자_무효	48
경상남도	거제시	NA	NA	국내부재자_기권	325
경상남도	거제시	장목면	장목면제2투	선거권자	1272
경상남도	거제시	장목면	장목면제2투	투표수	771
경상남도	거제시	장목면	장목면제2투	무효	18
경상남도	거제시	장목면	장목면제2투	기권	501
경상남도	거제시	장평동	장평동제4투	선거권자	3248
경상남도	거제시	장평동	장평동제4투	투표수	1507
경상남도	거제시	장평동	장평동제4투	무효	9
경상남도	거제시	장평동	장평동제4투	기권	1741
경상남도	거제시	고현동	고현동제3투	선거권자	2341
경상남도	거제시	고현동	고현동제3투	투표수	1273
경상남도	거제시	고현동	고현동제3투	무효	4
경상남도	거제시	고현동	고현동제3투	기권	1068
경상남도	거제시	사등면	사등면제2투	선거권자	2538
경상남도	거제시	사등면	사등면제2투	투표수	1384
경상남도	거제시	사등면	사등면제2투	무효	27
경상남도	거제시	사등면	사등면제2투	기권	1154
경상남도	거제시	아주동	아주동제1투	선거권자	3438
경상남도	거제시	아주동	아주동제1투	투표수	1760
경상남도	거제시	아주동	아주동제1투	무효	17
경상남도	거제시	아주동	아주동제1투	기권	1678
경상남도	거제시	수양동	수양동제1투	선거권자	3388
경상남도	거제시	수양동	수양동제1투	투표수	2015
경상남도	거제시	수양동	수양동제1투	무효	20
경상남도	거제시	수양동	수양동제1투	기권	1373
경상남도	거제시	거제면	거제면제2투	선거권자	2231
경상남도	거제시	거제면	거제면제2투	투표수	1416
경상남도	거제시	거제면	거제면제2투	무효	30
경상남도	거제시	거제면	거제면제2투	기권	815
경상남도	거제시	장평동	장평동제6투	선거권자	4128
경상남도	거제시	장평동	장평동제6투	투표수	2169
경상남도	거제시	장평동	장평동제6투	무효	12
경상남도	거제시	장평동	장평동제6투	기권	1959
경상남도	거제시	고현동	고현동제1투	선거권자	2214
경상남도	거제시	고현동	고현동제1투	투표수	1113
경상남도	거제시	고현동	고현동제1투	무효	9
경상남도	거제시	고현동	고현동제1투	기권	1101
경상남도	거제시	능포동	능포동제3투	선거권자	3218
경상남도	거제시	능포동	능포동제3투	투표수	1648
경상남도	거제시	능포동	능포동제3투	무효	17
경상남도	거제시	능포동	능포동제3투	기권	1570
